Method,numP,Width,Height,Ratio,Sample Index,Time (s),Status
SSI,314,50,50,0.11,15,0.030,Completed
SSI,314,50,50,0.11,16,0.020,Completed
SSI,314,50,50,0.11,17,0.027,Completed
SSI,314,50,50,0.11,18,0.027,Completed
SSI,314,50,50,0.11,19,0.024,Completed
SSI,314,50,50,0.11,20,0.025,Completed
SSI,314,50,50,0.11,21,0.023,Completed
SSI,314,50,50,0.11,22,0.031,Completed
SSI,314,50,50,0.11,23,0.023,Completed
SSI,314,50,50,0.11,24,0.033,Completed
SSI,314,50,50,0.11,25,0.029,Completed
SSI,314,50,50,0.11,26,0.025,Completed
SSI,314,50,50,0.11,27,0.029,Completed
SSI,314,50,50,0.11,28,0.027,Completed
SSI,314,50,50,0.11,29,0.031,Completed
SSI,314,50,50,0.11,30,0.025,Completed
SSI,314,50,50,0.11,31,0.030,Completed
SSI,314,50,50,0.11,32,0.024,Completed
SSI,314,50,50,0.11,33,0.027,Completed
SSI,314,50,50,0.11,34,0.028,Completed
SSI,314,50,50,0.11,35,0.031,Completed
SSI,314,50,50,0.11,36,0.034,Completed
SSI,314,50,50,0.11,37,0.032,Completed
SSI,314,50,50,0.11,38,0.029,Completed
SSI,314,50,50,0.11,39,0.030,Completed
SSI,314,50,50,0.11,40,0.026,Completed
SSI,314,50,50,0.11,41,0.029,Completed
SSI,314,50,50,0.11,42,0.026,Completed
SSI,314,50,50,0.11,43,0.031,Completed
SSI,314,50,50,0.11,44,0.032,Completed
SSI,314,50,50,0.11,45,0.030,Completed
SSI,314,50,50,0.11,46,0.024,Completed
SSI,314,50,50,0.11,47,0.025,Completed
SSI,314,50,50,0.11,48,0.026,Completed
SSI,314,50,50,0.11,49,0.031,Completed
SSI,314,50,50,0.11,50,0.026,Completed
SSI,314,50,50,0.11,51,0.028,Completed
SSI,314,50,50,0.11,52,0.028,Completed
SSI,314,50,50,0.11,53,0.031,Completed
SSI,314,50,50,0.11,54,0.028,Completed
SSI,314,50,50,0.11,55,0.026,Completed
SSI,314,50,50,0.11,56,0.030,Completed
SSI,314,50,50,0.11,57,0.033,Completed
SSI,314,50,50,0.11,58,0.028,Completed
SSI,314,50,50,0.11,59,0.034,Completed
SSI,314,50,50,0.11,60,0.021,Completed
SSI,314,50,50,0.11,61,0.023,Completed
SSI,314,50,50,0.11,62,0.031,Completed
SSI,314,50,50,0.11,63,0.030,Completed
SSI,314,50,50,0.11,64,0.033,Completed
SSI,314,50,50,0.11,65,0.026,Completed
SSI,314,50,50,0.11,66,0.027,Completed
SSI,314,50,50,0.11,67,0.025,Completed
SSI,314,50,50,0.11,68,0.033,Completed
SSI,314,50,50,0.11,69,0.028,Completed
SSI,314,50,50,0.11,70,0.021,Completed
SSI,314,50,50,0.11,71,0.023,Completed
SSI,314,50,50,0.11,72,0.028,Completed
SSI,314,50,50,0.11,73,0.027,Completed
SSI,314,50,50,0.11,74,0.025,Completed
SSI,314,50,50,0.11,75,0.028,Completed
SSI,314,50,50,0.11,76,0.028,Completed
SSI,314,50,50,0.11,77,0.028,Completed
SSI,314,50,50,0.11,78,0.027,Completed
SSI,314,50,50,0.11,79,0.027,Completed
SSI,314,50,50,0.11,80,0.033,Completed
SSI,314,50,50,0.11,81,0.028,Completed
SSI,314,50,50,0.11,82,0.029,Completed
SSI,314,50,50,0.11,83,0.030,Completed
SSI,314,50,50,0.11,84,0.026,Completed
SSI,314,50,50,0.11,85,0.025,Completed
SSI,314,50,50,0.11,86,0.027,Completed
SSI,314,50,50,0.11,87,0.028,Completed
SSI,314,50,50,0.11,88,0.027,Completed
SSI,314,50,50,0.11,89,0.024,Completed
SSI,314,50,50,0.11,90,0.025,Completed
SSI,314,50,50,0.11,91,0.029,Completed
SSI,314,50,50,0.11,92,0.030,Completed
SSI,314,50,50,0.11,93,0.029,Completed
SSI,314,50,50,0.11,94,0.028,Completed
SSI,314,50,50,0.11,95,0.030,Completed
SSI,314,50,50,0.11,96,0.028,Completed
SSI,314,50,50,0.11,97,0.026,Completed
SSI,314,50,50,0.11,98,0.024,Completed
SSI,314,50,50,0.11,99,0.027,Completed
SSI,314,50,50,0.12,0,0.032,Completed
SSI,314,50,50,0.12,1,0.033,Completed
SSI,314,50,50,0.12,2,0.026,Completed
SSI,314,50,50,0.12,3,0.022,Completed
SSI,314,50,50,0.12,4,0.027,Completed
SSI,314,50,50,0.12,5,0.023,Completed
SSI,314,50,50,0.12,6,0.025,Completed
SSI,314,50,50,0.12,7,0.027,Completed
SSI,314,50,50,0.12,8,0.029,Completed
SSI,314,50,50,0.12,9,0.027,Completed
SSI,314,50,50,0.12,10,0.030,Completed
SSI,314,50,50,0.12,11,0.030,Completed
SSI,314,50,50,0.12,12,0.028,Completed
SSI,314,50,50,0.12,13,0.025,Completed
SSI,314,50,50,0.12,14,0.024,Completed
SSI,314,50,50,0.12,15,0.022,Completed
SSI,314,50,50,0.12,16,0.025,Completed
SSI,314,50,50,0.12,17,0.026,Completed
SSI,314,50,50,0.12,18,0.024,Completed
SSI,314,50,50,0.12,19,0.020,Completed
SSI,314,50,50,0.12,20,0.029,Completed
SSI,314,50,50,0.12,21,0.029,Completed
SSI,314,50,50,0.12,22,0.027,Completed
SSI,314,50,50,0.12,23,0.021,Completed
SSI,314,50,50,0.12,24,0.028,Completed
SSI,314,50,50,0.12,25,0.030,Completed
SSI,314,50,50,0.12,26,0.028,Completed
SSI,314,50,50,0.12,27,0.027,Completed
SSI,314,50,50,0.12,28,0.020,Completed
SSI,314,50,50,0.12,29,0.024,Completed
SSI,314,50,50,0.12,30,0.023,Completed
SSI,314,50,50,0.12,31,0.026,Completed
SSI,314,50,50,0.12,32,0.032,Completed
SSI,314,50,50,0.12,33,0.021,Completed
SSI,314,50,50,0.12,34,0.028,Completed
SSI,314,50,50,0.12,35,0.030,Completed
SSI,314,50,50,0.12,36,0.029,Completed
SSI,314,50,50,0.12,37,0.031,Completed
SSI,314,50,50,0.12,38,0.028,Completed
