Method,numP,Width,Height,Ratio,Sample,Time_s,Status,Attempts,Rejects
SSI,314,50,50,0.100,98,0.027,Completed,330,16
SSI,314,50,50,0.100,99,0.029,Completed,336,22
SSI,314,50,50,0.110,0,0.030,Completed,341,27
SSI,314,50,50,0.110,1,0.030,Completed,340,26
SSI,314,50,50,0.110,2,0.027,Completed,332,18
SSI,314,50,50,0.110,3,0.028,Completed,342,28
SSI,314,50,50,0.110,4,0.030,Completed,336,22
SSI,314,50,50,0.110,5,0.031,Completed,334,20
SSI,314,50,50,0.110,6,0.030,Completed,339,25
SSI,314,50,50,0.110,7,0.029,Completed,330,16
SSI,314,50,50,0.110,8,0.030,Completed,339,25
SSI,314,50,50,0.110,9,0.028,Completed,337,23
SSI,314,50,50,0.110,10,0.030,Completed,334,20
SSI,314,50,50,0.110,11,0.029,Completed,335,21
SSI,314,50,50,0.110,12,0.031,Completed,340,26
SSI,314,50,50,0.110,13,0.030,Completed,335,21
SSI,314,50,50,0.110,14,0.026,Completed,333,19
SSI,314,50,50,0.110,15,0.028,Completed,335,21
SSI,314,50,50,0.110,16,0.028,Completed,343,29
SSI,314,50,50,0.110,17,0.030,Completed,348,34
SSI,314,50,50,0.110,18,0.027,Completed,336,22
SSI,314,50,50,0.110,19,0.029,Completed,338,24
SSI,314,50,50,0.110,20,0.028,Completed,336,22
SSI,314,50,50,0.110,21,0.029,Completed,336,22
SSI,314,50,50,0.110,22,0.028,Completed,332,18
SSI,314,50,50,0.110,23,0.028,Completed,337,23
SSI,314,50,50,0.110,24,0.028,Completed,337,23
SSI,314,50,50,0.110,25,0.028,Completed,339,25
SSI,314,50,50,0.110,26,0.027,Completed,332,18
SSI,314,50,50,0.110,27,0.028,Completed,344,30
SSI,314,50,50,0.110,28,0.030,Completed,335,21
SSI,314,50,50,0.110,29,0.031,Completed,348,34
SSI,314,50,50,0.110,30,0.029,Completed,335,21
SSI,314,50,50,0.110,31,0.029,Completed,341,27
SSI,314,50,50,0.110,32,0.029,Completed,334,20
SSI,314,50,50,0.110,33,0.029,Completed,338,24
SSI,314,50,50,0.110,34,0.032,Completed,338,24
SSI,314,50,50,0.110,35,0.032,Completed,337,23
SSI,314,50,50,0.110,36,0.037,Completed,337,23
SSI,314,50,50,0.110,37,0.031,Completed,339,25
SSI,314,50,50,0.110,38,0.033,Completed,337,23
SSI,314,50,50,0.110,39,0.029,Completed,340,26
SSI,314,50,50,0.110,40,0.030,Completed,330,16
SSI,314,50,50,0.110,41,0.029,Completed,334,20
SSI,314,50,50,0.110,42,0.030,Completed,340,26
SSI,314,50,50,0.110,43,0.028,Completed,338,24
SSI,314,50,50,0.110,44,0.029,Completed,337,23
SSI,314,50,50,0.110,45,0.028,Completed,336,22
SSI,314,50,50,0.110,46,0.028,Completed,336,22
SSI,314,50,50,0.110,47,0.029,Completed,334,20
SSI,314,50,50,0.110,48,0.030,Completed,341,27
SSI,314,50,50,0.110,49,0.027,Completed,332,18
SSI,314,50,50,0.110,50,0.027,Completed,331,17
SSI,314,50,50,0.110,51,0.029,Completed,345,31
SSI,314,50,50,0.110,52,0.027,Completed,334,20
SSI,314,50,50,0.110,53,0.029,Completed,343,29
SSI,314,50,50,0.110,54,0.026,Completed,338,24
SSI,314,50,50,0.110,55,0.028,Completed,331,17
SSI,314,50,50,0.110,56,0.030,Completed,344,30
SSI,314,50,50,0.110,57,0.027,Completed,329,15
SSI,314,50,50,0.110,58,0.030,Completed,344,30
SSI,314,50,50,0.110,59,0.029,Completed,338,24
SSI,314,50,50,0.110,60,0.028,Completed,340,26
SSI,314,50,50,0.110,61,0.028,Completed,334,20
SSI,314,50,50,0.110,62,0.028,Completed,323,9
SSI,314,50,50,0.110,63,0.028,Completed,345,31
SSI,314,50,50,0.110,64,0.029,Completed,327,13
SSI,314,50,50,0.110,65,0.028,Completed,332,18
SSI,314,50,50,0.110,66,0.029,Completed,334,20
SSI,314,50,50,0.110,67,0.028,Completed,333,19
SSI,314,50,50,0.110,68,0.029,Completed,338,24
SSI,314,50,50,0.110,69,0.031,Completed,342,28
SSI,314,50,50,0.110,70,0.030,Completed,338,24
SSI,314,50,50,0.110,71,0.029,Completed,336,22
SSI,314,50,50,0.110,72,0.045,Completed,341,27
SSI,314,50,50,0.110,73,0.028,Completed,331,17
SSI,314,50,50,0.110,74,0.027,Completed,336,22
SSI,314,50,50,0.110,75,0.028,Completed,339,25
SSI,314,50,50,0.110,76,0.028,Completed,336,22
SSI,314,50,50,0.110,77,0.030,Completed,337,23
SSI,314,50,50,0.110,78,0.031,Completed,332,18
SSI,314,50,50,0.110,79,0.028,Completed,333,19
SSI,314,50,50,0.110,80,0.033,Completed,336,22
SSI,314,50,50,0.110,81,0.031,Completed,336,22
SSI,314,50,50,0.110,82,0.034,Completed,338,24
SSI,314,50,50,0.110,83,0.039,Completed,332,18
SSI,314,50,50,0.110,84,0.028,Completed,335,21
SSI,314,50,50,0.110,85,0.029,Completed,336,22
SSI,314,50,50,0.110,86,0.029,Completed,348,34
SSI,314,50,50,0.110,87,0.033,Completed,335,21
SSI,314,50,50,0.110,88,0.031,Completed,335,21
SSI,314,50,50,0.110,89,0.034,Completed,345,31
SSI,314,50,50,0.110,90,0.036,Completed,341,27
SSI,314,50,50,0.110,91,0.030,Completed,337,23
SSI,314,50,50,0.110,92,0.030,Completed,329,15
SSI,314,50,50,0.110,93,0.032,Completed,335,21
SSI,314,50,50,0.110,94,0.033,Completed,336,22
SSI,314,50,50,0.110,95,0.031,Completed,342,28
SSI,314,50,50,0.110,96,0.031,Completed,340,26
SSI,314,50,50,0.110,97,0.032,Completed,336,22
SSI,314,50,50,0.110,98,0.033,Completed,340,26
SSI,314,50,50,0.110,99,0.033,Completed,347,33
SSI,314,50,50,0.120,0,0.030,Completed,336,22
SSI,314,50,50,0.120,1,0.033,Completed,350,36
SSI,314,50,50,0.120,2,0.034,Completed,340,26
SSI,314,50,50,0.120,3,0.029,Completed,343,29
SSI,314,50,50,0.120,4,0.028,Completed,338,24
SSI,314,50,50,0.120,5,0.027,Completed,341,27
SSI,314,50,50,0.120,6,0.028,Completed,342,28
SSI,314,50,50,0.120,7,0.028,Completed,335,21
SSI,314,50,50,0.120,8,0.032,Completed,354,40
SSI,314,50,50,0.120,9,0.029,Completed,340,26
SSI,314,50,50,0.120,10,0.028,Completed,340,26
SSI,314,50,50,0.120,11,0.028,Completed,338,24
SSI,314,50,50,0.120,12,0.029,Completed,344,30
SSI,314,50,50,0.120,13,0.034,Completed,343,29
SSI,314,50,50,0.120,14,0.028,Completed,346,32
SSI,314,50,50,0.120,15,0.032,Completed,344,30
SSI,314,50,50,0.120,16,0.029,Completed,336,22
SSI,314,50,50,0.120,17,0.030,Completed,352,38
SSI,314,50,50,0.120,18,0.031,Completed,346,32
SSI,314,50,50,0.120,19,0.031,Completed,340,26
SSI,314,50,50,0.120,20,0.027,Completed,335,21
SSI,314,50,50,0.120,21,0.028,Completed,334,20
SSI,314,50,50,0.120,22,0.029,Completed,345,31
SSI,314,50,50,0.120,23,0.036,Completed,341,27
SSI,314,50,50,0.120,24,0.030,Completed,339,25
SSI,314,50,50,0.120,25,0.036,Completed,341,27
SSI,314,50,50,0.120,26,0.032,Completed,333,19
SSI,314,50,50,0.120,27,0.032,Completed,334,20
SSI,314,50,50,0.120,28,0.030,Completed,334,20
SSI,314,50,50,0.120,29,0.030,Completed,338,24
SSI,314,50,50,0.120,30,0.034,Completed,345,31
SSI,314,50,50,0.120,31,0.033,Completed,347,33
SSI,314,50,50,0.120,32,0.032,Completed,338,24
SSI,314,50,50,0.120,33,0.031,Completed,344,30
SSI,314,50,50,0.120,34,0.032,Completed,342,28
SSI,314,50,50,0.120,35,0.030,Completed,345,31
SSI,314,50,50,0.120,36,0.031,Completed,336,22
SSI,314,50,50,0.120,37,0.033,Completed,345,31
SSI,314,50,50,0.120,38,0.032,Completed,342,28
SSI,314,50,50,0.120,39,0.031,Completed,338,24
SSI,314,50,50,0.120,40,0.036,Completed,335,21
SSI,314,50,50,0.120,41,0.032,Completed,347,33
SSI,314,50,50,0.120,42,0.031,Completed,341,27
SSI,314,50,50,0.120,43,0.029,Completed,338,24
SSI,314,50,50,0.120,44,0.028,Completed,348,34
SSI,314,50,50,0.120,45,0.027,Completed,344,30
SSI,314,50,50,0.120,46,0.027,Completed,335,21
SSI,314,50,50,0.120,47,0.029,Completed,338,24
SSI,314,50,50,0.120,48,0.029,Completed,344,30
SSI,314,50,50,0.120,49,0.028,Completed,334,20
SSI,314,50,50,0.120,50,0.028,Completed,332,18
SSI,314,50,50,0.120,51,0.031,Completed,346,32
SSI,314,50,50,0.120,52,0.028,Completed,338,24
SSI,314,50,50,0.120,53,0.029,Completed,343,29
SSI,314,50,50,0.120,54,0.029,Completed,341,27
SSI,314,50,50,0.120,55,0.028,Completed,338,24
SSI,314,50,50,0.120,56,0.031,Completed,352,38
SSI,314,50,50,0.120,57,0.030,Completed,337,23
SSI,314,50,50,0.120,58,0.030,Completed,348,34
SSI,314,50,50,0.120,59,0.028,Completed,337,23
SSI,314,50,50,0.120,60,0.027,Completed,339,25
SSI,314,50,50,0.120,61,0.028,Completed,335,21
SSI,314,50,50,0.120,62,0.031,Completed,343,29
SSI,314,50,50,0.120,63,0.027,Completed,334,20
SSI,314,50,50,0.120,64,0.027,Completed,341,27
SSI,314,50,50,0.120,65,0.028,Completed,333,19
SSI,314,50,50,0.120,66,0.029,Completed,336,22
SSI,314,50,50,0.120,67,0.028,Completed,345,31
SSI,314,50,50,0.120,68,0.027,Completed,338,24
SSI,314,50,50,0.120,69,0.028,Completed,336,22
SSI,314,50,50,0.120,70,0.027,Completed,337,23
SSI,314,50,50,0.120,71,0.032,Completed,335,21
SSI,314,50,50,0.120,72,0.029,Completed,346,32
SSI,314,50,50,0.120,73,0.031,Completed,341,27
SSI,314,50,50,0.120,74,0.029,Completed,345,31
SSI,314,50,50,0.120,75,0.031,Completed,343,29
SSI,314,50,50,0.120,76,0.059,Completed,349,35
SSI,314,50,50,0.120,77,0.037,Completed,341,27
SSI,314,50,50,0.120,78,0.038,Completed,341,27
SSI,314,50,50,0.120,79,0.030,Completed,347,33
SSI,314,50,50,0.120,80,0.028,Completed,340,26
SSI,314,50,50,0.120,81,0.028,Completed,345,31
SSI,314,50,50,0.120,82,0.027,Completed,337,23
SSI,314,50,50,0.120,83,0.029,Completed,348,34
SSI,314,50,50,0.120,84,0.027,Completed,338,24
SSI,314,50,50,0.120,85,0.029,Completed,335,21
SSI,314,50,50,0.120,86,0.029,Completed,353,39
SSI,314,50,50,0.120,87,0.030,Completed,335,21
SSI,314,50,50,0.120,88,0.030,Completed,340,26
SSI,314,50,50,0.120,89,0.029,Completed,340,26
SSI,314,50,50,0.120,90,0.027,Completed,345,31
SSI,314,50,50,0.120,91,0.029,Completed,341,27
SSI,314,50,50,0.120,92,0.028,Completed,342,28
SSI,314,50,50,0.120,93,0.029,Completed,349,35
SSI,314,50,50,0.120,94,0.028,Completed,335,21
SSI,314,50,50,0.120,95,0.031,Completed,335,21
SSI,314,50,50,0.120,96,0.028,Completed,326,12
SSI,314,50,50,0.120,97,0.028,Completed,339,25
SSI,314,50,50,0.120,98,0.028,Completed,339,25
SSI,314,50,50,0.120,99,0.027,Completed,341,27
SSI,314,50,50,0.130,0,0.027,Completed,347,33
SSI,314,50,50,0.130,1,0.031,Completed,356,42
SSI,314,50,50,0.130,2,0.028,Completed,345,31
SSI,314,50,50,0.130,3,0.032,Completed,346,32
SSI,314,50,50,0.130,4,0.033,Completed,346,32
SSI,314,50,50,0.130,5,0.030,Completed,354,40
SSI,314,50,50,0.130,6,0.030,Completed,355,41
SSI,314,50,50,0.130,7,0.029,Completed,344,30
SSI,314,50,50,0.130,8,0.030,Completed,344,30
SSI,314,50,50,0.130,9,0.027,Completed,334,20
SSI,314,50,50,0.130,10,0.030,Completed,352,38
SSI,314,50,50,0.130,11,0.031,Completed,356,42
SSI,314,50,50,0.130,12,0.030,Completed,347,33
SSI,314,50,50,0.130,13,0.028,Completed,356,42
SSI,314,50,50,0.130,14,0.029,Completed,352,38
SSI,314,50,50,0.130,15,0.027,Completed,335,21
SSI,314,50,50,0.130,16,0.027,Completed,340,26
SSI,314,50,50,0.130,17,0.030,Completed,349,35
SSI,314,50,50,0.130,18,0.029,Completed,344,30
SSI,314,50,50,0.130,19,0.030,Completed,356,42
